USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root           373     2       0      0 0                   0 S [irq/386-limits_]
root           375     2       0      0 0                   0 S [irq/387-limits_]
root           376     2       0      0 0                   0 I [kworker/6:1H]
root           377     2       0      0 0                   0 S [irq/83-bcl-lvl0]
root           378     2       0      0 0                   0 S [irq/85-bcl-lvl1]
root           379     2       0      0 0                   0 S [irq/86-bcl-lvl2]
root           380     2       0      0 0                   0 S [irq/96-bcl-lvl0]
root           381     2       0      0 0                   0 S [irq/97-bcl-lvl1]
root           382     2       0      0 0                   0 S [irq/98-bcl-lvl2]
root           383     2       0      0 0                   0 I [dm_bufio_cache]
root           384     2       0      0 0                   0 S [irq/32-KRYO L3-]
root           385     2       0      0 0                   0 S [mi_reclaim]
root           386     2       0      0 0                   0 I [mmc_clk_gate/mm]
root           387     2       0      0 0                   0 I [mmc_clk_gate/mm]
root           388     2       0      0 0                   0 S [irq/48-8804000.]
root           389     2       0      0 0                   0 S [irq/47-mmc0]
root           390     2       0      0 0                   0 S [irq/318-8804000]
root           392     2       0      0 0                   0 S [irq/176-arm-smm]
root           393     2       0      0 0                   0 I [uaudio_svc]
root           394     2       0      0 0                   0 I [ipv6_addrconf]
root           404     2       0      0 0                   0 S [irq/410-qg-vbat]
root           405     2       0      0 0                   0 S [irq/411-qg-vbat]
root           406     2       0      0 0                   0 S [irq/412-qg-fifo]
root           407     2       0      0 0                   0 S [irq/413-qg-good]
root           408     2       0      0 0                   0 S [irq/414-chgr-er]
root           409     2       0      0 0                   0 S [irq/415-chg-sta]
root           411     2       0      0 0                   0 S [irq/422-otg-fai]
root           412     2       0      0 0                   0 S [irq/426-high-du]
root           413     2       0      0 0                   0 S [irq/427-input-c]
root           414     2       0      0 0                   0 S [irq/429-switche]
root           415     2       0      0 0                   0 S [irq/430-bat-tem]
root           417     2       0      0 0                   0 S [irq/431-bat-ov]
root           419     2       0      0 0                   0 S [irq/432-bat-low]
root           420     2       0      0 0                   0 S [irq/433-bat-the]
root           422     2       0      0 0                   0 S [irq/434-bat-ter]
root           423     2       0      0 0                   0 S [irq/437-usbin-c]
root           424     2       0      0 0                   0 S [irq/438-usbin-v]
root           425     2       0      0 0                   0 S [irq/439-usbin-u]
root           426     2       0      0 0                   0 S [irq/440-usbin-o]
root           427     2       0      0 0                   0 S [irq/441-usbin-p]
root           428     2       0      0 0                   0 S [irq/443-usbin-s]
root           429     2       0      0 0                   0 S [irq/444-usbin-i]
root           430     2       0      0 0                   0 S [irq/446-dcin-uv]
root           431     2       0      0 0                   0 S [irq/447-dcin-ov]
root           432     2       0      0 0                   0 S [irq/448-dcin-pl]
root           433     2       0      0 0                   0 S [irq/450-dcin-po]
root           434     2       0      0 0                   0 S [irq/451-dcin-en]
root           436     2       0      0 0                   0 S [irq/452-typec-o]
root           438     2       0      0 0                   0 S [irq/454-typec-c]
root           440     2       0      0 0                   0 S [irq/455-typec-v]
root           441     2       0      0 0                   0 S [irq/457-typec-a]
root           442     2       0      0 0                   0 S [irq/458-typec-l]
root           444     2       0      0 0                   0 S [irq/460-wdog-sn]
root           445     2       0      0 0                   0 S [irq/461-wdog-ba]
root           446     2       0      0 0                   0 S [irq/463-aicl-do]
root           447     2       0      0 0                   0 S [irq/464-smb-en]
root           448     2       0      0 0                   0 S [irq/466-temp-ch]
root           449     2       0      0 0                   0 S [irq/468-sdam-st]
root           450     2       0      0 0                   0 S [irq/72-thr-int-]
root           451     2       0      0 0                   0 S [irq/100-thr-int]
root           459     2       0      0 0                   0 S [irq/75-sig-tx]
root           460     2       0      0 0                   0 S [irq/76-sig-rx]
root           461     2       0      0 0                   0 S [irq/377-pwr_eve]
root           462     2       0      0 0                   0 S [irq/376-dp_hs_p]
root           463     2       0      0 0                   0 S [irq/379-dm_hs_p]
root           464     2       0      0 0                   0 S [irq/378-ss_phy_]
root           465     2       0      0 0                   0 S [irq/177-arm-smm]
root           466     2       0      0 0                   0 I [usb_bam_wq]
root           467     2       0      0 0                   0 S [core_ctl/0]
root           468     2       0      0 0                   0 S [core_ctl/6]
root           469     2       0      0 0                   0 I [rq_stats]
root           470     2       0      0 0                   0 S [msm_perf:events]
root           471     2       0      0 0                   0 S [irq/178-arm-smm]
root           472     2       0      0 0                   0 S [irq/179-arm-smm]
root           473     2       0      0 0                   0 S [irq/180-arm-smm]
root           474     2       0      0 0                   0 S [irq/181-arm-smm]
root           475     2       0      0 0                   0 S [irq/182-arm-smm]
root           476     2       0      0 0                   0 S [irq/183-arm-smm]
root           477     2       0      0 0                   0 S [irq/184-arm-smm]
root           478     2       0      0 0                   0 S [irq/185-arm-smm]
root           479     2       0      0 0                   0 S [irq/186-arm-smm]
root           480     2       0      0 0                   0 S [irq/187-arm-smm]
root           481     2       0      0 0                   0 S [irq/188-arm-smm]
root           482     2       0      0 0                   0 S [irq/189-arm-smm]
root           483     2       0      0 0                   0 S [irq/190-arm-smm]
root           484     2       0      0 0                   0 I [drm_dp]
root           486     2       0      0 0                   0 I [sb-3]
root           487     2       0      0 0                   0 S [ngd_rx_thread3]
root           488     2       0      0 0                   0 S [ngd_notify_sl3]
root           489     2       0      0 0                   0 I [fts_wq]
root           490     2       0      0 0                   0 S [irq/246-fts_ts]
root           491     2       0      0 0                   0 S [irq/115-qpnp_fl]
root           492     2       0      0 0                   0 S [irq/114-qpnp_fl]
root           493     2       0      0 0                   0 S [irq/113-qpnp_fl]
root           494     2       0      0 0                   0 I [kworker/7:1H]
root           495     2       0      0 0                   0 S [jbd2/sda21-8]
root           496     2       0      0 0                   0 I [ext4-rsv-conver]
root           497     2       0      0 0                   0 I [kdmflush]
root           498     2       0      0 0                   0 I [bioset]
root           499     2       0      0 0                   0 I [kdmflush]
root           500     2       0      0 0                   0 I [bioset]
root           501     2       0      0 0                   0 I [kdmflush]
root           502     2       0      0 0                   0 I [bioset]
root           503     2       0      0 0                   0 I [kdmflush]
root           504     2       0      0 0                   0 I [bioset]
root           505     2       0      0 0                   0 I [kdmflush]
root           506     2       0      0 0                   0 I [bioset]
root           507     2       0      0 0                   0 I [kdmflush]
root           508     2       0      0 0                   0 I [bioset]
root           509     2       0      0 0                   0 I [kdmflush]
root           510     2       0      0 0                   0 I [bioset]
root           511     2       0      0 0                   0 I [kverityd]
root           512     2       0      0 0                   0 I [bioset]
root           513     2       0      0 0                   0 I [bioset]
root           514     2       0      0 0                   0 I [bioset]
root           515     2       0      0 0                   0 I [ext4-rsv-conver]
root           516     2       0      0 0                   0 I [kdmflush]
root           517     2       0      0 0                   0 I [bioset]
root           518     2       0      0 0                   0 I [kverityd]
root           519     2       0      0 0                   0 I [bioset]
root           520     2       0      0 0                   0 I [bioset]
root           521     2       0      0 0                   0 I [bioset]
root           522     2       0      0 0                   0 I [ext4-rsv-conver]
root           523     2       0      0 0                   0 I [kdmflush]
root           524     2       0      0 0                   0 I [bioset]
root           525     2       0      0 0                   0 I [kverityd]
root           526     2       0      0 0                   0 I [bioset]
root           527     2       0      0 0                   0 I [bioset]
root           528     2       0      0 0                   0 I [bioset]
root           529     2       0      0 0                   0 I [ext4-rsv-conver]
root           530     2       0      0 0                   0 I [kdmflush]
root           531     2       0      0 0                   0 I [bioset]
root           532     2       0      0 0                   0 I [kverityd]
root           533     2       0      0 0                   0 I [bioset]
root           534     2       0      0 0                   0 I [bioset]
